Index,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Malphite,Shaco,Ryze,Varus,Blitzcrank,Yasuo,Gragas,Sylas,Jhin,Heimerdinger,TOP,GRANDMASTER,"['Yuumi', 'Lux', 'Nami']",122.0,110.0,0.525862069,False,False,False,False
1,Shaco,Malphite,Ryze,Varus,Blitzcrank,Yasuo,Gragas,Sylas,Jhin,Heimerdinger,JUNGLE,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,False
2,Ryze,Malphite,Shaco,Varus,Blitzcrank,Yasuo,Gragas,Sylas,Jhin,Heimerdinger,MIDDLE,CHALLENGER,"['Ryze', 'Orianna', 'Sylas']",219.0,179.0,0.550251256,True,False,False,False
3,Varus,Malphite,Shaco,Ryze,Blitzcrank,Yasuo,Gragas,Sylas,Jhin,Heimerdinger,BOTTOM,GRANDMASTER,"['Vayne', 'Ezreal', 'Lucian']",125.0,111.0,0.529661017,False,False,False,False
4,Blitzcrank,Malphite,Shaco,Ryze,Varus,Yasuo,Gragas,Sylas,Jhin,Heimerdinger,UTILITY,GRANDMASTER,"['LeeSin', 'Thresh', 'Azir']",83.0,59.0,0.584507042,False,False,False,False
0,Camille,Sylas,Viktor,Samira,Nautilus,Vayne,Shaco,Sejuani,Karthus,Alistar,MIDDLE,CHALLENGER,"['Riven', 'Camille', 'Lucian']",203.0,195.0,0.510050251,False,True,False,True
1,Sylas,Camille,Viktor,Samira,Nautilus,Vayne,Shaco,Sejuani,Karthus,Alistar,JUNGLE,DIAMOND,"['Graves', 'Kindred', 'LeeSin']",16.0,6.0,0.727272727,False,True,False,True
2,Viktor,Camille,Sylas,Samira,Nautilus,Vayne,Shaco,Sejuani,Karthus,Alistar,TOP,PLATINUM,"['Viktor', 'Thresh', 'Orianna']",16.0,14.0,0.533333333,False,False,False,True
3,Samira,Camille,Sylas,Viktor,Nautilus,Vayne,Shaco,Sejuani,Karthus,Alistar,BOTTOM,GRANDMASTER,"['Samira', 'Draven', 'Jhin']",125.0,108.0,0.536480687,False,True,False,True
4,Nautilus,Camille,Sylas,Viktor,Samira,Vayne,Shaco,Sejuani,Karthus,Alistar,UTILITY,GRANDMASTER,"['Rell', 'Ornn', 'Pyke']",94.0,73.0,0.562874251,False,True,True,True
0,Jax,Shaco,Yasuo,Twitch,Rakan,Chogath,Sylas,Vayne,Nilah,Lulu,TOP,GOLD,"['Rengar', 'Riven', 'Katarina']",30.0,31.0,0.491803279,False,False,False,False
1,Shaco,Jax,Yasuo,Twitch,Rakan,Chogath,Sylas,Vayne,Nilah,Lulu,JUNGLE,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,False
2,Yasuo,Jax,Shaco,Twitch,Rakan,Chogath,Sylas,Vayne,Nilah,Lulu,MIDDLE,GRANDMASTER,"['Yasuo', 'Riven', 'Zed']",178.0,168.0,0.514450867,False,True,False,False
3,Twitch,Jax,Shaco,Yasuo,Rakan,Chogath,Sylas,Vayne,Nilah,Lulu,BOTTOM,GRANDMASTER,"['Caitlyn', 'Jhin', 'Twitch']",188.0,176.0,0.516483516,False,True,False,False
4,Rakan,Jax,Shaco,Yasuo,Twitch,Chogath,Sylas,Vayne,Nilah,Lulu,UTILITY,DIAMOND,"['Zilean', 'Evelynn', 'Soraka']",97.0,85.0,0.532967033,False,True,False,False
0,Aatrox,Ekko,AurelionSol,Jhin,Senna,Gragas,MonkeyKing,Galio,Caitlyn,Lux,TOP,MASTER,"['Aatrox', 'Gangplank', 'Fiora']",36.0,22.0,0.620689655,False,True,False,False
1,Ekko,Aatrox,AurelionSol,Jhin,Senna,Gragas,MonkeyKing,Galio,Caitlyn,Lux,JUNGLE,MASTER,"['Riven', 'Kassadin', 'Twitch']",128.0,125.0,0.505928854,False,True,False,False
2,AurelionSol,Aatrox,Ekko,Jhin,Senna,Gragas,MonkeyKing,Galio,Caitlyn,Lux,MIDDLE,SILVER,"['Kassadin', 'Ekko', 'Rengar']",8.0,0.0,1.0,False,False,True,False
3,Jhin,Aatrox,Ekko,AurelionSol,Senna,Gragas,MonkeyKing,Galio,Caitlyn,Lux,BOTTOM,GRANDMASTER,"['Caitlyn', 'Senna', 'Jhin']",43.0,24.0,0.641791045,False,True,False,False
4,Senna,Aatrox,Ekko,AurelionSol,Jhin,Gragas,MonkeyKing,Galio,Caitlyn,Lux,UTILITY,GRANDMASTER,"['Riven', 'Twitch', 'Veigar']",140.0,129.0,0.520446097,False,True,False,False
0,Darius,Nidalee,Talon,Varus,Soraka,Teemo,Kayn,Galio,Kaisa,Ashe,TOP,GRANDMASTER,"['Darius', 'MonkeyKing', 'Camille']",209.0,184.0,0.531806616,False,True,False,True
2,Talon,Darius,Nidalee,Varus,Soraka,Teemo,Kayn,Galio,Kaisa,Ashe,MIDDLE,GRANDMASTER,"['Talon', 'Zed', 'Lissandra']",112.0,104.0,0.518518519,False,True,False,True
3,Varus,Darius,Nidalee,Talon,Soraka,Teemo,Kayn,Galio,Kaisa,Ashe,BOTTOM,GRANDMASTER,"['Kaisa', 'Jinx', 'Caitlyn']",139.0,112.0,0.553784861,False,True,False,True
4,Soraka,Darius,Nidalee,Talon,Varus,Teemo,Kayn,Galio,Kaisa,Ashe,UTILITY,GRANDMASTER,"['Thresh', 'Alistar', 'Braum']",200.0,195.0,0.506329114,False,True,False,True
0,Jayce,Gragas,Zed,Xayah,Rakan,Camille,Ekko,Galio,Jinx,Ashe,TOP,GRANDMASTER,"['Jayce', 'Jax', 'Garen']",169.0,126.0,0.572881356,False,True,True,True
1,Gragas,Jayce,Zed,Xayah,Rakan,Camille,Ekko,Galio,Jinx,Ashe,JUNGLE,GRANDMASTER,"['Vi', 'LeeSin', 'Sylas']",195.0,167.0,0.538674033,False,False,False,True
2,Zed,Jayce,Gragas,Xayah,Rakan,Camille,Ekko,Galio,Jinx,Ashe,MIDDLE,MASTER,"['Sylas', 'Zed', 'Shaco']",88.0,75.0,0.539877301,False,False,True,True
3,Xayah,Jayce,Gragas,Zed,Rakan,Camille,Ekko,Galio,Jinx,Ashe,BOTTOM,GRANDMASTER,"['Kaisa', 'Jinx', 'Caitlyn']",139.0,112.0,0.553784861,False,True,False,True
4,Rakan,Jayce,Gragas,Zed,Xayah,Camille,Ekko,Galio,Jinx,Ashe,UTILITY,GRANDMASTER,"['Lucian', 'Vayne', 'Thresh']",95.0,75.0,0.558823529,False,False,False,True
0,Gangplank,Gragas,Zed,Ezreal,Lulu,Darius,Khazix,Galio,Xayah,Rakan,TOP,GRANDMASTER,"['Irelia', 'Darius', 'Fiora']",264.0,253.0,0.510638298,False,True,False,False
1,Gragas,Gangplank,Zed,Ezreal,Lulu,Darius,Khazix,Galio,Xayah,Rakan,JUNGLE,MASTER,"['LeeSin', 'Graves', 'Gangplank']",49.0,38.0,0.563218391,False,False,False,False
2,Zed,Gangplank,Gragas,Ezreal,Lulu,Darius,Khazix,Galio,Xayah,Rakan,MIDDLE,MASTER,"['Zed', 'Velkoz', 'Xerath']",119.0,121.0,0.495833333,False,True,False,False
3,Ezreal,Gangplank,Gragas,Zed,Lulu,Darius,Khazix,Galio,Xayah,Rakan,BOTTOM,GRANDMASTER,"['Yasuo', 'Zed', 'Irelia']",262.0,242.0,0.51984127,False,False,False,False
4,Lulu,Gangplank,Gragas,Zed,Ezreal,Darius,Khazix,Galio,Xayah,Rakan,UTILITY,MASTER,"['Sylas', 'Lulu', 'Senna']",42.0,35.0,0.545454545,False,False,False,False
0,Nidalee,Graves,Galio,Caitlyn,Karma,KSante,Rengar,Ahri,Kindred,Rakan,TOP,GRANDMASTER,"['Nidalee', 'Jayce', 'Rumble']",272.0,238.0,0.533333333,False,True,True,True
1,Graves,Nidalee,Galio,Caitlyn,Karma,KSante,Rengar,Ahri,Kindred,Rakan,JUNGLE,GRANDMASTER,"['Sylas', 'Kindred', 'Graves']",142.0,133.0,0.516363636,False,False,False,True
2,Galio,Nidalee,Graves,Caitlyn,Karma,KSante,Rengar,Ahri,Kindred,Rakan,MIDDLE,GRANDMASTER,"['Galio', 'Yasuo', 'Sylas']",91.0,67.0,0.575949367,False,True,False,True
3,Caitlyn,Nidalee,Graves,Galio,Karma,KSante,Rengar,Ahri,Kindred,Rakan,BOTTOM,GRANDMASTER,"['Shaco', 'Khazix', 'Ekko']",176.0,167.0,0.513119534,False,True,False,True
4,Karma,Nidalee,Graves,Galio,Caitlyn,KSante,Rengar,Ahri,Kindred,Rakan,UTILITY,MASTER,"['Amumu', 'Draven', 'Twitch']",88.0,64.0,0.578947368,False,False,False,True
0,Jayce,Vi,Galio,Xayah,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,TOP,GRANDMASTER,"['Nidalee', 'Jayce', 'Rumble']",272.0,238.0,0.533333333,False,True,True,False
1,Vi,Jayce,Galio,Xayah,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,JUNGLE,GRANDMASTER,"['Elise', 'Fiora', 'Vi']",168.0,149.0,0.529968454,False,True,False,False
2,Galio,Jayce,Vi,Xayah,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,MIDDLE,GRANDMASTER,"['Galio', 'Yasuo', 'Sylas']",91.0,67.0,0.575949367,False,True,False,False
3,Xayah,Jayce,Vi,Galio,Rakan,Kled,Shaco,Nasus,Ziggs,Velkoz,BOTTOM,MASTER,"['Ezreal', 'Kaisa', 'Tristana']",176.0,160.0,0.523809524,False,True,False,False
4,Rakan,Jayce,Vi,Galio,Xayah,Kled,Shaco,Nasus,Ziggs,Velkoz,UTILITY,PLATINUM,"['Yasuo', 'Blitzcrank', 'Leona']",91.0,76.0,0.54491018,False,False,True,False
0,Garen,Graves,Galio,Kaisa,Pyke,Gragas,LeeSin,Taliyah,Xayah,Rakan,TOP,CHALLENGER,"['Camille', 'Fiora', 'Jayce']",89.0,71.0,0.55625,False,True,False,True
1,Graves,Garen,Galio,Kaisa,Pyke,Gragas,LeeSin,Taliyah,Xayah,Rakan,JUNGLE,GRANDMASTER,"['LeeSin', 'Graves', 'Elise']",59.0,39.0,0.602040816,False,True,False,True
2,Galio,Garen,Graves,Kaisa,Pyke,Gragas,LeeSin,Taliyah,Xayah,Rakan,MIDDLE,GRANDMASTER,"['Galio', 'Yasuo', 'Sylas']",91.0,67.0,0.575949367,False,True,False,True
3,Kaisa,Garen,Graves,Galio,Pyke,Gragas,LeeSin,Taliyah,Xayah,Rakan,BOTTOM,GRANDMASTER,"['Kaisa', 'Ezreal', 'Jhin']",81.0,56.0,0.591240876,False,True,False,True
4,Pyke,Garen,Graves,Galio,Kaisa,Gragas,LeeSin,Taliyah,Xayah,Rakan,UTILITY,CHALLENGER,"['Pyke', 'Gangplank', 'LeeSin']",109.0,87.0,0.556122449,False,True,False,True
0,Jayce,Chogath,Viktor,MissFortune,Nautilus,Illaoi,Olaf,Galio,Xayah,Rakan,TOP,CHALLENGER,"['Camille', 'Fiora', 'Jayce']",89.0,71.0,0.55625,False,True,False,False
1,Chogath,Jayce,Viktor,MissFortune,Nautilus,Illaoi,Olaf,Galio,Xayah,Rakan,JUNGLE,MASTER,"['Fiddlesticks', 'Morgana', 'Chogath']",106.0,86.0,0.552083333,False,False,False,False
2,Viktor,Jayce,Chogath,MissFortune,Nautilus,Illaoi,Olaf,Galio,Xayah,Rakan,MIDDLE,PLATINUM,"['Viktor', 'Thresh', 'Orianna']",16.0,14.0,0.533333333,False,False,False,False
3,MissFortune,Jayce,Chogath,Viktor,Nautilus,Illaoi,Olaf,Galio,Xayah,Rakan,BOTTOM,GRANDMASTER,"['Irelia', 'Shaco', 'Yasuo']",87.0,56.0,0.608391608,False,False,False,False
4,Nautilus,Jayce,Chogath,Viktor,MissFortune,Illaoi,Olaf,Galio,Xayah,Rakan,UTILITY,PLATINUM,"['Aatrox', 'Graves', 'Jayce']",5.0,8.0,0.384615385,False,False,False,False
1,Karthus,Fiora,Cassiopeia,Kalista,Morgana,Chogath,Rammus,Galio,Jhin,Karma,JUNGLE,GRANDMASTER,"['Irelia', 'Shaco', 'Yasuo']",87.0,56.0,0.608391608,False,False,False,False
2,Cassiopeia,Fiora,Karthus,Kalista,Morgana,Chogath,Rammus,Galio,Jhin,Karma,MIDDLE,MASTER,"['Samira', 'Lucian', 'AurelionSol']",107.0,99.0,0.519417476,False,True,False,False
3,Kalista,Fiora,Karthus,Cassiopeia,Morgana,Chogath,Rammus,Galio,Jhin,Karma,BOTTOM,MASTER,"['Kalista', 'Kaisa', 'Ezreal']",110.0,106.0,0.509259259,False,True,False,False
4,Morgana,Fiora,Karthus,Cassiopeia,Kalista,Chogath,Rammus,Galio,Jhin,Karma,UTILITY,MASTER,"['Nami', 'Morgana', 'Lux']",148.0,137.0,0.519298246,False,True,False,False
0,Camille,JarvanIV,Galio,Xayah,Alistar,Renekton,Nocturne,Singed,Vayne,Renata,TOP,GRANDMASTER,"['Jayce', 'Irelia', 'LeeSin']",88.0,55.0,0.615384615,False,True,True,True
1,JarvanIV,Camille,Galio,Xayah,Alistar,Renekton,Nocturne,Singed,Vayne,Renata,JUNGLE,GRANDMASTER,"['JarvanIV', 'Elise', 'Camille']",377.0,360.0,0.511533243,False,True,False,True
2,Galio,Camille,JarvanIV,Xayah,Alistar,Renekton,Nocturne,Singed,Vayne,Renata,MIDDLE,GRANDMASTER,"['Galio', 'Yasuo', 'Sylas']",91.0,67.0,0.575949367,False,True,False,True
3,Xayah,Camille,JarvanIV,Galio,Alistar,Renekton,Nocturne,Singed,Vayne,Renata,BOTTOM,CHALLENGER,"['Caitlyn', 'Lucian', 'Kaisa']",106.0,85.0,0.554973822,False,True,True,True
0,Garen,JarvanIV,Karma,Zeri,Nautilus,Galio,Kayn,Gragas,Varus,Velkoz,TOP,GRANDMASTER,"['Irelia', 'Akshan', 'Camille']",79.0,67.0,0.54109589,False,True,False,True
1,JarvanIV,Garen,Karma,Zeri,Nautilus,Galio,Kayn,Gragas,Varus,Velkoz,JUNGLE,GRANDMASTER,"['JarvanIV', 'Elise', 'Camille']",377.0,360.0,0.511533243,False,True,False,True
2,Karma,Garen,JarvanIV,Zeri,Nautilus,Galio,Kayn,Gragas,Varus,Velkoz,MIDDLE,PLATINUM,"['Zed', 'Yasuo', 'Qiyana']",11.0,8.0,0.578947368,False,False,False,True
3,Zeri,Garen,JarvanIV,Karma,Nautilus,Galio,Kayn,Gragas,Varus,Velkoz,BOTTOM,DIAMOND,"['Karthus', 'Kaisa', 'Ezreal']",13.0,12.0,0.52,False,False,False,True
4,Nautilus,Garen,JarvanIV,Karma,Zeri,Galio,Kayn,Gragas,Varus,Velkoz,UTILITY,GRANDMASTER,"['Thresh', 'Braum', 'Karma']",125.0,118.0,0.514403292,False,True,False,True
